시도,연령별,인구수,남자인구수,여자인구수
전국,계,51778544,25855919,25922625
전국,0세,345786,178138,167648
전국,1세,409814,209813,200001
전국,2세,442943,227063,215880
전국,3세,439700,225268,214432
전국,4세,440872,225898,214974
전국,5세,489401,251163,238238
전국,6세,476061,244330,231731
전국,7세,473580,244138,229442
전국,8세,448183,230769,217414
전국,9세,468858,241269,227589
전국,10세,496041,255068,240973
전국,11세,449954,232656,217298
전국,12세,436496,226040,210456
전국,13세,474366,245931,228435
전국,14세,493910,256513,237397
전국,15세,495262,258638,236624
전국,16세,559804,291386,268418
전국,17세,639416,334156,305260
전국,18세,619744,323172,296572
전국,19세,639432,334131,305301
전국,20세,670955,347695,323260
전국,21세,685001,360143,324858
전국,22세,707489,374524,332965
전국,23세,713246,380055,333191
전국,24세,709736,378064,331672
전국,25세,724578,382578,342000
전국,26세,702166,368226,333940
전국,27세,640303,340219,300084
전국,28세,631234,328932,302302
전국,29세,626259,327523,298736
전국,30세,618127,316797,301330
전국,31세,628300,326287,302013
전국,32세,653497,336269,317228
전국,33세,662636,339803,322833
전국,34세,749385,383180,366205
전국,35세,823495,419870,403625
전국,36세,841840,430341,411499
전국,37세,838693,427826,410867
전국,38세,829177,418535,410642
전국,39세,723499,373960,349539
전국,40세,780568,392521,388047
전국,41세,763958,390933,373025
전국,42세,791817,399584,392233
전국,43세,859972,439645,420327
전국,44세,895428,450301,445127
전국,45세,896361,459783,436578
전국,46세,944179,482465,461714
전국,47세,919109,468276,450833
전국,48세,924665,467181,457484
전국,49세,926695,466163,460532
전국,50세,861873,427043,434830
전국,51세,815855,426660,389195
전국,52세,850770,427787,422983
전국,53세,832633,422788,409845
전국,54세,792265,404923,387342
전국,55세,879476,448711,430765
전국,56세,912277,455878,456399
전국,57세,920380,456944,463436
전국,58세,849219,421775,427444
전국,59세,775456,388888,386568
전국,60세,767925,383917,384008
전국,61세,692708,343176,349532
전국,62세,716331,347792,368539
전국,63세,608431,301064,307367
전국,64세,524848,254429,270419
전국,65세,578745,280537,298208
전국,66세,421321,203254,218067
전국,67세,448083,215378,232705
전국,68세,451830,215855,235975
전국,69세,447042,213195,233847
전국,70세,449247,210287,238960
전국,71세,356256,167142,189114
전국,72세,316490,145587,170903
전국,73세,335832,149900,185932
전국,74세,335307,147140,188167
전국,75세,408443,178012,230431
전국,76세,332373,141520,190853
전국,77세,290050,120099,169951
전국,78세,294405,119457,174948
전국,79세,260703,103034,157669
전국,80세,236440,90766,145674
전국,81세,216390,80144,136246
전국,82세,200619,71099,129520
전국,83세,172333,58665,113668
전국,84세,142364,46234,96130
전국,85세,126316,38862,87454
전국,86세,99951,28702,71249
전국,87세,87556,22964,64592
전국,88세,75834,20374,55460
전국,89세,61796,15229,46567
전국,90세,49612,11641,37971
전국,91세,34909,7912,26997
전국,92세,28262,6007,22255
전국,93세,20684,4909,15775
전국,94세,19769,4404,15365
전국,95세,14616,3183,11433
전국,96세,9619,2027,7592
전국,97세,6922,1528,5394
전국,98세,4832,1161,3671
전국,99세,3305,693,2612
전국,100세 이상,17850,4024,13826
서울특별시,계,9857426,4830206,5027220
서울특별시,0세,61253,31356,29897
서울특별시,1세,70532,36178,34354
서울특별시,2세,74322,38088,36234
서울특별시,3세,72482,36984,35498
서울특별시,4세,71688,36770,34918
서울특별시,5세,78941,40488,38453
서울특별시,6세,75386,38575,36811
서울특별시,7세,75929,38994,36935
서울특별시,8세,71772,36686,35086
서울특별시,9세,76157,39234,36923
서울특별시,10세,80577,41364,39213
서울특별시,11세,74502,38430,36072
서울특별시,12세,72380,37424,34956
서울특별시,13세,80264,41325,38939
서울특별시,14세,83081,42881,40200
서울특별시,15세,83791,43308,40483
서울특별시,16세,93326,48316,45010
서울특별시,17세,108584,56348,52236
서울특별시,18세,105344,54488,50856
서울특별시,19세,112807,57713,55094
서울특별시,20세,120957,60406,60551
서울특별시,21세,125632,62388,63244
서울특별시,22세,134735,67195,67540
서울특별시,23세,143930,71940,71990
서울특별시,24세,149420,74443,74977
서울특별시,25세,159845,79142,80703
서울특별시,26세,161550,79713,81837
서울특별시,27세,150999,75869,75130
서울특별시,28세,149562,74012,75550
서울특별시,29세,150485,74911,75574
서울특별시,30세,146573,71874,74699
서울특별시,31세,148015,74143,73872
서울특별시,32세,150838,75230,75608
서울특별시,33세,149335,74727,74608
서울특별시,34세,163855,82675,81180
서울특별시,35세,173092,86649,86443
서울특별시,36세,173138,87562,85576
서울특별시,37세,169187,85159,84028
서울특별시,38세,165335,81861,83474
서울특별시,39세,139821,70987,68834
서울특별시,40세,150481,73834,76647
서울특별시,41세,147416,73874,73542
서울특별시,42세,150031,74192,75839
서울특별시,43세,162292,81605,80687
서울특별시,44세,168414,82701,85713
서울특별시,45세,171738,85912,85826
서울특별시,46세,181275,90679,90596
서울특별시,47세,175113,86911,88202
서울특별시,48세,172711,85668,87043
서울특별시,49세,168518,82933,85585
서울특별시,50세,157576,75926,81650
서울특별시,51세,144996,74312,70684
서울특별시,52세,154444,75583,78861
서울특별시,53세,153733,75778,77955
서울특별시,54세,146916,72848,74068
서울특별시,55세,158349,78467,79882
서울특별시,56세,163134,78757,84377
서울특별시,57세,168880,80515,88365
서울특별시,58세,158018,75936,82082
서울특별시,59세,147497,71194,76303
서울특별시,60세,147029,70702,76327
서울특별시,61세,133804,63641,70163
서울특별시,62세,141178,66221,74957
서울특별시,63세,119297,57102,62195
서울특별시,64세,105263,49701,55562
서울특별시,65세,114400,54264,60136
서울특별시,66세,80233,37905,42328
서울특별시,67세,89224,42250,46974
서울특별시,68세,89871,41971,47900
서울특별시,69세,88753,41661,47092
서울특별시,70세,90591,41829,48762
서울특별시,71세,73185,33723,39462
서울특별시,72세,64285,29919,34366
서울특별시,73세,64933,30118,34815
서울특별시,74세,63515,29182,34333
서울특별시,75세,74898,34923,39975
서울특별시,76세,60021,27491,32530
서울특별시,77세,50860,22709,28151
서울특별시,78세,49861,21916,27945
서울특별시,79세,43160,18539,24621
서울특별시,80세,38593,15936,22657
서울특별시,81세,34377,13872,20505
서울특별시,82세,31713,12262,19451
서울특별시,83세,26206,9641,16565
서울특별시,84세,21753,7759,13994
서울특별시,85세,19206,6491,12715
서울특별시,86세,15377,4855,10522
서울특별시,87세,13515,3996,9519
서울특별시,88세,12208,3620,8588
서울특별시,89세,10165,2733,7432
서울특별시,90세,8200,2104,6096
서울특별시,91세,5892,1424,4468
서울특별시,92세,4695,1062,3633
서울특별시,93세,3589,947,2642
서울특별시,94세,3501,932,2569
서울특별시,95세,2569,643,1926
서울특별시,96세,1851,483,1368
서울특별시,97세,1436,405,1031
서울특별시,98세,1010,288,722
서울특별시,99세,736,197,539
서울특별시,100세 이상,5519,1328,4191
부산광역시,계,3470653,1709508,1761145
부산광역시,0세,20494,10576,9918
부산광역시,1세,24546,12528,12018
부산광역시,2세,26663,13662,13001
부산광역시,3세,26164,13590,12574
부산광역시,4세,25913,13312,12601
부산광역시,5세,28685,14838,13847
부산광역시,6세,27748,14106,13642
부산광역시,7세,27241,13955,13286
부산광역시,8세,25022,12918,12104
부산광역시,9세,26256,13439,12817
부산광역시,10세,27829,14343,13486
부산광역시,11세,25013,12914,12099
부산광역시,12세,24646,12783,11863
부산광역시,13세,27049,13901,13148
부산광역시,14세,28719,15064,13655
부산광역시,15세,28824,14986,13838
부산광역시,16세,33157,17271,15886
부산광역시,17세,37918,19941,17977
부산광역시,18세,37434,19772,17662
부산광역시,19세,39455,20801,18654
부산광역시,20세,41907,21677,20230
부산광역시,21세,44966,23655,21311
부산광역시,22세,46950,24860,22090
부산광역시,23세,48615,25850,22765
부산광역시,24세,48657,26128,22529
부산광역시,25세,49413,26244,23169
부산광역시,26세,47343,24991,22352
부산광역시,27세,41735,22131,19604
부산광역시,28세,41886,21577,20309
부산광역시,29세,40319,20881,19438
부산광역시,30세,39039,19732,19307
부산광역시,31세,39207,20441,18766
부산광역시,32세,40312,20729,19583
부산광역시,33세,41524,21228,20296
부산광역시,34세,47131,23914,23217
부산광역시,35세,51805,26468,25337
부산광역시,36세,54551,27779,26772
부산광역시,37세,54669,27905,26764
부산광역시,38세,53544,26983,26561
부산광역시,39세,45842,23879,21963
부산광역시,40세,48261,24351,23910
부산광역시,41세,46132,23560,22572
부산광역시,42세,49327,24762,24565
부산광역시,43세,53224,26937,26287
부산광역시,44세,55663,27712,27951
부산광역시,45세,56281,28503,27778
부산광역시,46세,58769,29201,29568
부산광역시,47세,58427,29051,29376
부산광역시,48세,59136,29107,30029
부산광역시,49세,59832,29300,30532
부산광역시,50세,57500,27350,30150
부산광역시,51세,53538,27181,26357
부산광역시,52세,55908,26842,29066
부산광역시,53세,55151,26944,28207
부산광역시,54세,54854,26917,27937
부산광역시,55세,62869,30643,32226
부산광역시,56세,66668,31613,35055
부산광역시,57세,68830,32873,35957
부산광역시,58세,64035,30512,33523
부산광역시,59세,60191,29216,30975
부산광역시,60세,61251,29605,31646
부산광역시,61세,56284,27115,29169
부산광역시,62세,60042,28003,32039
부산광역시,63세,50329,25118,25211
부산광역시,64세,44433,20933,23500
부산광역시,65세,47883,22779,25104
부산광역시,66세,38445,18243,20202
부산광역시,67세,37723,18024,19699
부산광역시,68세,38417,17977,20440
부산광역시,69세,37810,17769,20041
부산광역시,70세,36283,16819,19464
부산광역시,71세,28573,13461,15112
부산광역시,72세,24263,11359,12904
부산광역시,73세,27296,12427,14869
부산광역시,74세,27136,12352,14784
부산광역시,75세,30171,13491,16680
부산광역시,76세,25039,10832,14207
부산광역시,77세,22085,9310,12775
부산광역시,78세,21200,8694,12506
부산광역시,79세,17857,7195,10662
부산광역시,80세,16261,6353,9908
부산광역시,81세,14419,5463,8956
부산광역시,82세,13027,4611,8416
부산광역시,83세,11098,3773,7325
부산광역시,84세,8932,2917,6015
부산광역시,85세,8020,2428,5592
부산광역시,86세,6467,1881,4586
부산광역시,87세,5232,1341,3891
부산광역시,88세,4720,1235,3485
부산광역시,89세,3977,900,3077
부산광역시,90세,3250,678,2572
부산광역시,91세,2083,458,1625
부산광역시,92세,1736,341,1395
부산광역시,93세,1226,264,962
부산광역시,94세,1072,229,843
부산광역시,95세,819,182,637
부산광역시,96세,527,96,431
부산광역시,97세,389,82,307
부산광역시,98세,280,73,207
부산광역시,99세,197,43,154
부산광역시,100세 이상,1614,327,1287
대구광역시,계,2475231,1227814,1247417
대구광역시,0세,15444,8004,7440
대구광역시,1세,18625,9491,9134
대구광역시,2세,19884,10194,9690
대구광역시,3세,19906,10145,9761
대구광역시,4세,19915,10115,9800
대구광역시,5세,22224,11394,10830
대구광역시,6세,21713,11113,10600
대구광역시,7세,21577,11182,10395
대구광역시,8세,20326,10524,9802
대구광역시,9세,21429,11101,10328
대구광역시,10세,23134,11846,11288
대구광역시,11세,21039,10956,10083
대구광역시,12세,21101,11127,9974
대구광역시,13세,22876,11997,10879
대구광역시,14세,24824,13075,11749
대구광역시,15세,24314,12992,11322
대구광역시,16세,28237,14922,13315
대구광역시,17세,32571,17227,15344
대구광역시,18세,31696,16796,14900
대구광역시,19세,31964,17124,14840
대구광역시,20세,34405,18208,16197
대구광역시,21세,35305,18876,16429
대구광역시,22세,36578,19643,16935
대구광역시,23세,35928,19687,16241
대구광역시,24세,35041,19365,15676
대구광역시,25세,35113,19274,15839
대구광역시,26세,33380,18287,15093
대구광역시,27세,29798,16530,13268
대구광역시,28세,29349,15914,13435
대구광역시,29세,27315,15019,12296
대구광역시,30세,27069,14352,12717
대구광역시,31세,27200,14649,12551
대구광역시,32세,28066,14721,13345
대구광역시,33세,28017,14515,13502
대구광역시,34세,32586,16485,16101
대구광역시,35세,36197,18015,18182
대구광역시,36세,37381,18602,18779
대구광역시,37세,37416,18698,18718
대구광역시,38세,37667,18477,19190
대구광역시,39세,32416,16529,15887
대구광역시,40세,36024,17759,18265
대구광역시,41세,35868,17995,17873
대구광역시,42세,38000,18549,19451
대구광역시,43세,40764,20287,20477
대구광역시,44세,42879,20781,22098
대구광역시,45세,44009,21731,22278
대구광역시,46세,45768,22575,23193
대구광역시,47세,45052,22202,22850
대구광역시,48세,45731,22202,23529
대구광역시,49세,47051,23349,23702
대구광역시,50세,44625,21427,23198
대구광역시,51세,40923,20936,19987
대구광역시,52세,42880,20705,22175
대구광역시,53세,42008,20717,21291
대구광역시,54세,39675,19724,19951
대구광역시,55세,44571,22074,22497
대구광역시,56세,46240,22667,23573
대구광역시,57세,44122,21477,22645
대구광역시,58세,43473,20923,22550
대구광역시,59세,36160,18015,18145
대구광역시,60세,37657,18596,19061
대구광역시,61세,34425,16868,17557
대구광역시,62세,34796,16278,18518
대구광역시,63세,28909,14214,14695
대구광역시,64세,27136,12691,14445
대구광역시,65세,29465,13720,15745
대구광역시,66세,22441,10545,11896
대구광역시,67세,22198,10528,11670
대구광역시,68세,23041,10744,12297
대구광역시,69세,22850,10492,12358
대구광역시,70세,21255,9592,11663
대구광역시,71세,15261,7011,8250
대구광역시,72세,13751,6072,7679
대구광역시,73세,16248,7011,9237
대구광역시,74세,16818,7184,9634
대구광역시,75세,19094,8283,10811
대구광역시,76세,15604,6464,9140
대구광역시,77세,13599,5456,8143
대구광역시,78세,13867,5550,8317
대구광역시,79세,11797,4600,7197
대구광역시,80세,10769,4070,6699
대구광역시,81세,9688,3578,6110
대구광역시,82세,8984,3206,5778
대구광역시,83세,7841,2754,5087
대구광역시,84세,6217,2037,4180
대구광역시,85세,5642,1784,3858
대구광역시,86세,4405,1256,3149
대구광역시,87세,3530,880,2650
대구광역시,88세,2905,776,2129
대구광역시,89세,2476,600,1876
대구광역시,90세,1971,483,1488
대구광역시,91세,1330,286,1044
대구광역시,92세,1135,248,887
대구광역시,93세,745,160,585
대구광역시,94세,614,134,480
대구광역시,95세,469,93,376
대구광역시,96세,340,64,276
대구광역시,97세,224,48,176
대구광역시,98세,174,32,142
대구광역시,99세,96,23,73
대구광역시,100세 이상,615,137,478
인천광역시,계,2948542,1479597,1468945
인천광역시,0세,19907,10297,9610
인천광역시,1세,23915,12137,11778
인천광역시,2세,26124,13393,12731
인천광역시,3세,25940,13303,12637
인천광역시,4세,25988,13256,12732
인천광역시,5세,28679,14699,13980
인천광역시,6세,28145,14548,13597
인천광역시,7세,27732,14243,13489
인천광역시,8세,26308,13540,12768
인천광역시,9세,27187,13805,13382
인천광역시,10세,28953,14824,14129
인천광역시,11세,25780,13350,12430
인천광역시,12세,25055,12870,12185
인천광역시,13세,26866,13817,13049
인천광역시,14세,28387,14539,13848
인천광역시,15세,27955,14504,13451
인천광역시,16세,31692,16350,15342
인천광역시,17세,35859,18490,17369
인천광역시,18세,35119,18313,16806
인천광역시,19세,35897,18746,17151
인천광역시,20세,38515,19800,18715
인천광역시,21세,39744,20804,18940
인천광역시,22세,41413,21753,19660
인천광역시,23세,42650,22584,20066
인천광역시,24세,43502,22832,20670
인천광역시,25세,44791,23138,21653
인천광역시,26세,43628,22745,20883
인천광역시,27세,39622,20958,18664
인천광역시,28세,38327,19797,18530
인천광역시,29세,37619,19534,18085
인천광역시,30세,36625,18715,17910
인천광역시,31세,37121,19303,17818
인천광역시,32세,38797,20106,18691
인천광역시,33세,39289,20212,19077
인천광역시,34세,44606,22848,21758
인천광역시,35세,49267,25256,24011
인천광역시,36세,50876,26242,24634
인천광역시,37세,50171,25845,24326
인천광역시,38세,49715,25550,24165
인천광역시,39세,43198,22287,20911
인천광역시,40세,46037,23520,22517
인천광역시,41세,44116,22868,21248
인천광역시,42세,46656,23906,22750
인천광역시,43세,49695,25690,24005
인천광역시,44세,52167,26149,26018
인천광역시,45세,52435,26860,25575
인천광역시,46세,54396,27590,26806
인천광역시,47세,53235,27005,26230
인천광역시,48세,53663,26645,27018
인천광역시,49세,54184,26705,27479
인천광역시,50세,50406,24628,25778
인천광역시,51세,48254,24505,23749
인천광역시,52세,51773,25925,25848
인천광역시,53세,51260,25650,25610
인천광역시,54세,48538,24730,23808
인천광역시,55세,53694,27215,26479
인천광역시,56세,54359,27647,26712
인천광역시,57세,54290,27460,26830
인천광역시,58세,49157,24874,24283
인천광역시,59세,45370,23040,22330
인천광역시,60세,43326,21854,21472
인천광역시,61세,37925,19083,18842
인천광역시,62세,38631,19065,19566
인천광역시,63세,31994,15894,16100
인천광역시,64세,26993,13331,13662
인천광역시,65세,29615,14766,14849
인천광역시,66세,19284,9442,9842
인천광역시,67세,21789,10847,10942
인천광역시,68세,22291,10788,11503
인천광역시,69세,21724,10593,11131
인천광역시,70세,22133,10398,11735
인천광역시,71세,17931,8415,9516
인천광역시,72세,15286,7144,8142
인천광역시,73세,15489,7048,8441
인천광역시,74세,15495,6964,8531
인천광역시,75세,18393,7993,10400
인천광역시,76세,14851,6285,8566
인천광역시,77세,12606,5180,7426
인천광역시,78세,12937,5184,7753
인천광역시,79세,11648,4551,7097
인천광역시,80세,10157,3843,6314
인천광역시,81세,9663,3431,6232
인천광역시,82세,8938,3192,5746
인천광역시,83세,7525,2503,5022
인천광역시,84세,6421,2008,4413
인천광역시,85세,5632,1611,4021
인천광역시,86세,4535,1252,3283
인천광역시,87세,4073,1038,3035
인천광역시,88세,3581,914,2667
인천광역시,89세,2904,723,2181
인천광역시,90세,2337,530,1807
인천광역시,91세,1689,359,1330
인천광역시,92세,1397,275,1122
인천광역시,93세,1088,239,849
인천광역시,94세,928,257,671
인천광역시,95세,659,157,502
인천광역시,96세,497,110,387
인천광역시,97세,337,93,244
인천광역시,98세,235,69,166
인천광역시,99세,165,31,134
인천광역시,100세 이상,791,192,599
광주광역시,계,1463770,725295,738475
광주광역시,0세,9793,5074,4719
광주광역시,1세,11824,6023,5801
광주광역시,2세,12910,6637,6273
광주광역시,3세,13298,6836,6462
광주광역시,4세,13448,6887,6561
광주광역시,5세,15210,7930,7280
광주광역시,6세,14924,7707,7217
광주광역시,7세,15110,7789,7321
광주광역시,8세,14421,7450,6971
광주광역시,9세,14935,7648,7287
광주광역시,10세,16231,8469,7762
광주광역시,11세,14732,7645,7087
광주광역시,12세,14382,7469,6913
광주광역시,13세,15673,8144,7529
광주광역시,14세,17044,8948,8096
광주광역시,15세,16897,8772,8125
광주광역시,16세,19326,10024,9302
광주광역시,17세,22259,11603,10656
광주광역시,18세,21435,11062,10373
광주광역시,19세,21828,11400,10428
광주광역시,20세,22781,11863,10918
광주광역시,21세,22677,11960,10717
광주광역시,22세,23374,12127,11247
광주광역시,23세,22255,11923,10332
광주광역시,24세,21297,11344,9953
광주광역시,25세,21213,11179,10034
광주광역시,26세,19492,10141,9351
광주광역시,27세,17254,9107,8147
광주광역시,28세,16831,8592,8239
광주광역시,29세,16436,8453,7983
광주광역시,30세,16450,8312,8138
광주광역시,31세,16736,8492,8244
광주광역시,32세,17535,8974,8561
광주광역시,33세,18389,9385,9004
광주광역시,34세,21093,10793,10300
광주광역시,35세,23489,11844,11645
광주광역시,36세,23425,11686,11739
광주광역시,37세,23437,11652,11785
광주광역시,38세,23973,11723,12250
광주광역시,39세,20995,10581,10414
광주광역시,40세,23042,11366,11676
광주광역시,41세,22983,11519,11464
광주광역시,42세,22842,11367,11475
광주광역시,43세,25805,12905,12900
광주광역시,44세,26072,12838,13234
광주광역시,45세,26234,12979,13255
광주광역시,46세,27250,13518,13732
광주광역시,47세,26742,13313,13429
광주광역시,48세,25453,12687,12766
광주광역시,49세,26781,13211,13570
광주광역시,50세,24386,12017,12369
광주광역시,51세,23592,12006,11586
광주광역시,52세,23583,11599,11984
광주광역시,53세,22087,11073,11014
광주광역시,54세,22145,11054,11091
광주광역시,55세,22128,11079,11049
광주광역시,56세,22465,11015,11450
광주광역시,57세,24267,11796,12471
광주광역시,58세,21870,10559,11311
광주광역시,59세,19412,9371,10041
광주광역시,60세,19177,9347,9830
광주광역시,61세,16177,7961,8216
광주광역시,62세,17155,8200,8955
광주광역시,63세,14231,6860,7371
광주광역시,64세,12217,5740,6477
광주광역시,65세,13742,6467,7275
광주광역시,66세,11134,5226,5908
광주광역시,67세,11592,5463,6129
광주광역시,68세,12121,5589,6532
광주광역시,69세,11129,5202,5927
광주광역시,70세,11776,5316,6460
광주광역시,71세,9351,4379,4972
광주광역시,72세,8278,3776,4502
광주광역시,73세,8254,3704,4550
광주광역시,74세,7598,3366,4232
광주광역시,75세,10551,4719,5832
광주광역시,76세,8238,3451,4787
